id,phase,category,description,expected,passed,status
F2-LICENSE-NO-TOKEN,fase2,licencia,Licencia sin token,HTTP 401,True,401
F2-LICENSE-WRONG-SESSION,fase2,binding,Licencia con sesión distinta,HTTP 409,True,409
F2-NO-AUTH-UNAUTH,fase2,superficie,Ruta heredada sin token,HTTP 401,True,401
F2-NO-AUTH-REMOVED,fase2,superficie,Ruta heredada con token válido,HTTP 404,True,404
F2-STOP,fase2,sesion,Parada explícita,HTTP 200,True,200
F2-TOKEN-AFTER-STOP,fase2,revocacion,Token después de detener sesión,HTTP 401,True,401
F2-CONCURRENCY-SCORE,fase2,deteccion,Cinco rechazos de concurrencia elevan el score,409 en los cinco intentos y score 0/25/50/75/100,True,
F2-CONCURRENCY-BAN,fase2,respuesta,Ban automático de cuenta al llegar a 100,AUTO_BAN:REPEATED_CONCURRENCY_VIOLATION,True,
F2-CONCURRENCY-MANIFEST-BLOCKED,fase2,respuesta,Manifest tras ban de cuenta,HTTP 401,True,401
F2-CONCURRENCY-CLEAR,fase2,recuperacion,Retirada administrativa del ban de cuenta,HTTP 200,True,200
F2-CONCURRENCY-RECOVER,fase2,recuperacion,Heartbeat tras retirar ban,HTTP 200,True,200
F2-AUTH-BURST,fase2,deteccion,Ocho fallos de autenticación del mismo dispositivo,Ocho respuestas HTTP 401,True,
F2-DEVICE-BAN,fase2,respuesta,Ban de dispositivo por ráfaga de fallos,AUTH_FAILURE_BURST,True,
F2-DEVICE-MANIFEST-BLOCKED,fase2,respuesta,Manifest tras ban de dispositivo,HTTP 401,True,401
F2-DEVICE-CLEAR,fase2,recuperacion,Retirada administrativa del ban de dispositivo,HTTP 200,True,200
F2-DEVICE-RECOVER,fase2,recuperacion,Heartbeat tras retirar ban,HTTP 200,True,200
FASE0-TOPOLOGY,fase0,topologia,Publicación de servicios internos,Origen y licencia con bindings publicados,True,
FASE1-TOPOLOGY,fase1,topologia,Publicación de servicios internos,Sin bindings publicados para servicios internos,True,
FASE2-TOPOLOGY,fase2,topologia,Publicación de servicios internos,Sin bindings publicados para servicios internos,True,
